,,,,,,,
Theme: Trade & Investment,,,,,,,
Subject: Trade in Services (TIS),,,,,,,
Topic: Export of Services,,,,,,,
"Table Title: Exports Of Services By Industry And Services Category, Annual",,,,,,,
,,,,,,,
Data last updated: 31/07/2025,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,,Million Dollars
  Business Management,10927.1,8876.9,7925.4,8550.2,7981,6149.4,5289.5
  Other Services,688.8,291.2,264.8,252.8,na,na,na
Professional Services,40711.3,32669,29381.4,24418.9,25006.1,20196.1,19943.5
  Manufacturing Services On Physical Inputs Owned By Others,-,-,-,-,-,na,-
  Maintenance & Repair Services,na,2.6,2.1,2.8,2.2,na,7
  Transport,232,43.9,32.3,159.6,81.5,22.4,23.2
  Insurance,-,-,-,-,-,-,na
  Construction,1200,919.5,635.9,672.9,826.9,936.7,650.6
  Financial,289.1,166.9,85.4,63.3,89.1,65.9,50.9
"  Telecommunications, Computer & Information",na,na,na,na,na,na,na
  Charges For The Use Of Intellectual Property,393.8,476.7,342,340.1,670.3,237.3,176.9
  Personal Cultural & Recreational Services,na,na,na,na,na,na,na
  Trade-Related,2189.8,1947,1685.8,1389.2,1745.9,528.7,54.9
  Business Management,18568.2,14259.7,11713.2,9475.7,10009.4,9030.4,8858.3
  Other Services,13410.3,10628.9,11330.2,9564.1,8468.5,5952,4908.3
Admin & Support Services,7348.4,5831.8,6073.1,5689.1,6296.3,7059,6323.5
  Manufacturing Services On Physical Inputs Owned By Others,-,-,-,-,-,-,-
  Maintenance & Repair Services,-,na,na,1.3,na,na,na
  Transport,240.4,203.9,202.6,215.7,262.5,289.7,350
  Insurance,-,-,-,-,-,-,-
  Construction,-,-,-,-,-,-,-
  Financial,103.2,112.2,129.3,118.4,117,98.6,93
"  Telecommunications, Computer & Information",46.3,49.2,na,18,11.6,na,na
  Charges For The Use Of Intellectual Property,548.3,418.3,384.9,322,728.4,1076.7,1166.1
  Personal Cultural & Recreational Services,153.8,105.9,59.4,70.5,73.4,60.2,71.5
  Trade-Related,37,na,25.1,55.8,na,59.6,96.3
  Business Management,1547.4,708.5,937.2,792.2,818.7,1220.5,998.7
  Other Services,4672,4195.7,4313.1,4095.2,4232.4,4238.8,3527.1
Others,1536,1191.2,1076.6,826.6,949.1,857.4,568.9
  Manufacturing Services On Physical Inputs Owned By Others,-,-,-,-,-,-,-
  Maintenance & Repair Services,na,na,na,na,na,na,-
  Transport,na,na,na,na,na,na,na
  Insurance,-,-,-,-,-,-,-
  Construction,-,-,-,-,-,-,-
  Financial,-,-,na,na,na,56.4,-
"  Telecommunications, Computer & Information",30,na,19.3,14.7,17.3,14.2,na
  Charges For The Use Of Intellectual Property,153.9,77.3,57.5,46.6,61.2,58.4,37.2
  Personal Cultural & Recreational Services,222.3,199,193.9,122.9,130.9,133,82.8
  Trade-Related,10.3,8,7.4,na,10.6,na,5
  Business Management,562.3,468.8,436.5,309.9,297.6,223.1,167.3
  Other Services,453.2,303.2,na,na,279.7,223.6,159.4
,,,,,,,
Definitions and Footnotes:,,,,,,,
Figures presented in this table are compiled from the International Trade in Services (TIS) Survey. Please refer to Technical Notes (https://www.singstat.gov.sg/-/media/files/find_data/trade-and-investment/notesinttrade.pdf) for more information on trade in services data sources and compilation methodology.,,,,,,,
Manufacturing (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Manufacturing = 10 to 32,,,,,,,
Manufacturing -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Construction (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Construction = 40 to 43,,,,,,,
Construction -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Wholesale Trade (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Wholesale Trade = 46,,,,,,,
Wholesale Trade -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Transport & Storage Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Transport & Storage Services = 49 to 53,,,,,,,
Transport & Storage Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Information & Communications Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Information & Communications Services= 58 to 63,,,,,,,
Information & Communications Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Financial & Insurance Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Financial & Insurance Services = 64 to 66,,,,,,,
Financial & Insurance Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Professional Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Professional Services = 69 to 75,,,,,,,
Professional Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Admin & Support Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Admin & Support Services = 77 to 82,,,,,,,
Admin & Support Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Others (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Others = All remaining SSICs,,,,,,,
Others -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
,,,,,,,
Exports of Services:,,,,,,,
"Consist of transactions where services are provided from Singapore to overseas trading partners. For example, a Singapore-based shipping company providing freight services to an overseas client, transporting the client’s goods from country A to country B.",,,,,,,
