date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2
2023-03-31,2023,1,Education & Health,0.72702685035475,0.899452682071116,0.908363118070135,0.31578947368421045,0.7446370262825037,0.865072463768116,0.9446609228503059,0.32578947368421046
2023-06-30,2023,2,Education & Health,0.7391833257026892,0.9133391105333976,0.9172115698767147,0.32894736842105254,0.7524688752738387,0.8505797101449275,0.9565173413805539,0.33894736842105255
2023-09-30,2023,3,Education & Health,0.7512207706606939,0.9341763292380141,0.9163955333937331,0.34210526315789463,0.8027016559261423,0.9485124538098654,0.95660809526187,0.35210526315789464
2023-12-31,2023,4,Education & Health,0.7629823607763357,0.9759645938039114,0.8867252529545006,0.3552631578947368,0.8262847724245946,0.9955072463768115,0.9391787215794785,0.3652631578947368
2024-03-31,2024,1,Education & Health,0.7595294098528694,0.9718159879960271,0.8873258383218794,0.3486842105263157,0.8190813506916144,0.9917636849389595,0.9374264345216214,0.3586842105263157
2024-06-30,2024,2,Education & Health,0.7566383017835032,0.9705627595295269,0.88593873008108,0.3421052631578947,0.8132168939617995,0.9905559306304366,0.9370417157178359,0.3521052631578947
2024-09-30,2024,3,Education & Health,0.7563510942890099,0.9718159879960271,0.8898893478458568,0.3355263157894736,0.8025240414646975,0.973768115942029,0.9406641426098477,0.3455263157894736
2024-12-31,2024,4,Education & Health,0.75352384075091,0.9759645938039114,0.8815126423434323,0.32894736842105254,0.7984742387849816,0.9810144927536232,0.9358901522548403,0.33894736842105255
2019-12-31,2019,4,Finance & Insurance,0.8425653163118934,0.9519291876078226,0.9472068744046531,0.5921052631578947,0.9772463088687657,0.9520289855072464,0.9832357512276602,0.6021052631578947
2020-03-31,2020,1,Finance & Insurance,0.8423747582176159,0.9528774230150935,0.9485968405649106,0.5888157894736841,0.9798545841443409,0.9611473803168603,0.9838009496552697,0.5988157894736841
2020-06-30,2020,2,Finance & Insurance,0.840276585719262,0.9542379499758283,0.9430783699736283,0.5855263157894737,0.9780259081398139,0.9683727344453765,0.9740623294974081,0.5955263157894737
2020-09-30,2020,3,Finance & Insurance,0.8394299070044866,0.9560490399855366,0.9411307945956439,0.582236842105263,0.9773207050711044,0.974315732602188,0.9694648777386838,0.5922368421052631
2020-12-31,2020,4,Finance & Insurance,0.8393816673419103,0.9583694552878186,0.9411655823348904,0.5789473684210524,0.9789935496964761,0.9792562269049326,0.9731891425038919,0.5889473684210524
2021-03-31,2021,1,Finance & Insurance,0.8338601714120004,0.9326847694370557,0.940559475281822,0.5953947368421052,0.9815783374270717,0.9674151487120566,0.9696926524129642,0.6053947368421052
2021-06-30,2021,2,Finance & Insurance,0.8334939113635387,0.9198319212217412,0.9400283709863164,0.6118421052631577,0.9848332528761112,0.9552910548168786,0.9694123322029826,0.6218421052631578
2021-09-30,2021,3,Finance & Insurance,0.835024813873983,0.9138614835233552,0.9366445945312594,0.6282894736842104,0.9942894544349445,0.9607193097509585,0.9639633193601275,0.6382894736842104
2021-12-31,2021,4,Finance & Insurance,0.8394710431223328,0.9133391105333977,0.9357144875913159,0.644736842105263,1.0,0.9548132383633051,0.9635687454960563,0.6547368421052631
2022-03-31,2022,1,Finance & Insurance,0.8061201632658894,0.849898936414734,0.9354475763684071,0.6184210526315788,0.9338940454732056,0.8496600963949064,0.9603070949645515,0.6284210526315788
2022-06-30,2022,2,Finance & Insurance,0.7833390067755747,0.8122774765467139,0.9359881240317358,0.5921052631578947,0.9078877474559588,0.8255373614295963,0.9594383253130735,0.6021052631578947
